date,tourism_num
2024-04-29,10082
2024-04-30,9609
2024-05-01,13000
2024-05-02,41000
2024-05-03,33310
2024-05-04,15227
2024-05-05,6901
2024-05-06,5518
2024-05-07,5799
2024-05-08,9046
2024-05-09,10383
2024-05-10,12606
2024-05-11,12342
2024-05-12,13101
2024-05-13,11563
2024-05-14,14402
2024-05-15,14638
2024-05-16,13289
2024-05-17,15173
2024-05-18,15035
2024-05-19,13738
2024-05-20,13908
2024-05-21,13512
2024-05-22,15958
2024-05-23,14067
2024-05-24,14677
2024-05-25,14251
2024-05-26,13242
2024-05-27,12577
2024-05-28,12465
2024-05-29,12226
2024-05-30,12545
2024-05-31,9957
2024-06-01,10995
2024-06-02,9035
2024-06-03,10526
2024-06-04,11369
2024-06-05,11501
2024-06-06,10631
2024-06-07,12756
2024-06-08,14522
2024-06-09,20544
2024-06-10,9698
2024-06-11,9634
2024-06-12,11080
2024-06-13,14577
2024-06-14,16954
2024-06-15,17853
2024-06-16,17752
2024-06-17,18301
2024-06-18,16858
2024-06-19,18432
2024-06-20,17874
2024-06-21,19051
2024-06-22,17942
2024-06-23,15837
2024-06-24,16239
2024-06-25,15876
2024-06-26,17449
2024-06-27,17575
2024-06-28,18512
2024-06-29,18980
2024-06-30,19403
2024-07-01,21626
2024-07-02,21679
2024-07-03,20631
2024-07-04,19023
2024-07-05,20295
2024-07-06,21106
2024-07-07,23363
2024-07-08,24035
2024-07-09,23620
2024-07-10,25965
2024-07-11,24791
2024-07-12,24287
2024-07-13,22100
2024-07-14,22015
2024-07-15,25992
2024-07-16,25019
2024-07-17,25977
2024-07-18,23851
2024-07-19,20910
2024-07-20,24265
2024-07-21,22554
2024-07-22,25264
2024-07-23,22285
2024-07-24,22498
2024-07-25,7856
2024-07-26,22929
2024-07-27,17545
2024-07-28,19887
2024-07-29,21473
2024-07-30,23668
2024-07-31,24905
2024-08-01,25238
2024-08-02,24979
2024-08-03,24659
2024-08-04,30746
2024-08-05,37066
2024-08-06,34848
2024-08-07,37213
