date,y_true,y_pred_mean,lower,upper,std
2025-11-27,11214.9,12222.1,10728.7,13412.4,896.3
2025-11-28,11891.7,12433.6,11168.7,13730.6,855.9
2025-11-29,20203.6,13288.4,11514.7,14830.4,1090.8
2025-11-30,12049.6,20192.0,17399.7,22745.1,1615.8
2025-12-01,9115.7,11751.9,10048.3,13401.1,1042.7
2025-12-02,8850.8,9553.5,8138.5,10950.9,922.1
2025-12-03,8106.0,9453.2,8371.0,10540.0,729.1
2025-12-04,9739.4,8685.2,7445.0,9696.7,823.9
2025-12-05,9624.5,9581.1,8230.6,10602.7,733.7
2025-12-06,14799.6,10020.7,8804.8,11150.5,825.9
2025-12-07,10275.2,14282.2,12573.1,15541.6,980.9
2025-12-08,7266.3,9697.4,7804.7,11556.4,1151.2
2025-12-09,8799.8,7244.9,6110.3,8224.7,674.1
2025-12-10,8418.9,8439.4,7046.8,9746.4,788.6
2025-12-11,7335.3,8561.4,7057.6,10021.8,854.8
2025-12-12,7822.1,8182.3,7009.8,9194.7,684.8
2025-12-13,13886.9,8061.9,7095.8,9196.0,593.8
2025-12-14,9485.5,12814.6,10840.3,15047.0,1336.0
2025-12-15,7042.4,8925.6,7483.2,10741.6,1000.9
2025-12-16,7975.1,7155.5,5858.3,8645.1,846.8
2025-12-17,8216.0,7837.0,6581.2,8844.4,735.6
2025-12-18,8219.0,8288.9,7059.6,9488.9,697.0
2025-12-19,8357.9,8491.0,6658.2,9708.4,856.4
2025-12-20,6746.5,8788.9,7584.4,10090.7,789.1
2025-12-21,10080.3,6851.9,5604.6,8013.6,841.7
2025-12-22,8974.7,9323.6,7795.5,11188.5,1038.7
2025-12-23,8334.0,9278.0,7967.9,10790.6,844.1
2025-12-24,8502.9,8694.5,7529.7,9792.1,717.8
2025-12-25,9195.6,8457.5,7553.5,9529.9,633.7
2025-12-26,12667.4,8683.2,7560.6,9912.1,740.4
2025-12-27,16307.0,11505.0,10258.4,12854.2,859.9
2025-12-28,13523.1,15181.0,12538.6,17078.4,1370.1
2025-12-29,11952.6,12423.8,10251.3,15305.2,1617.0
2025-12-30,12079.6,11236.3,9661.0,12823.1,943.3
2025-12-31,10181.3,11570.0,10018.5,13223.4,1061.8
2026-01-01,19347.9,10520.1,9287.1,11686.0,818.4
2026-01-02,23006.6,14601.4,12848.2,16320.4,1100.6
2026-01-03,11668.7,19115.9,16036.0,21598.0,1733.8
2026-01-04,6007.8,8955.5,6108.5,11528.3,1692.1
2026-01-05,5541.0,6931.5,5268.2,8934.2,1061.4
2026-01-06,5146.1,6366.8,5255.3,7295.1,669.9
2026-01-07,5289.1,6083.1,4968.4,6966.8,577.5
2026-01-08,5709.9,5942.2,5145.7,6643.0,442.8
